keyword,keyword_uri,wikidata_qid,wikidata_uri,wikidata_label,wikidata_description,match_type,search_lang
EXIST,http://example.org/digitalhaushalt/keyword/exist,Q311550,http://www.wikidata.org/entity/Q311550,EXist,database and application platform built entirely around XML technologies.,exact,de
Wagniskapital,http://example.org/digitalhaushalt/keyword/wagniskapital,Q219409,http://www.wikidata.org/entity/Q219409,Risikokapital,"außerbörsliches Beteiligungskapital, das eine Beteiligungsgesellschaft zur Beteiligung an als besonders riskant geltenden Unternehmungen bereitstellt",exact,de
INVEST,http://example.org/digitalhaushalt/keyword/invest,Q6060707,http://www.wikidata.org/entity/Q6060707,Investigative Ophthalmology & Visual Science,wissenschaftliche Fachzeitschrift,fuzzy,de
Business Angel,http://example.org/digitalhaushalt/keyword/business-angel,Q778274,http://www.wikidata.org/entity/Q778274,Business Angel,Investor für Existenzgründer mit Know-How-Unterstützung,exact,de
EUMETSAT-Daten,http://example.org/digitalhaushalt/keyword/eumetsat-daten,,,,,none,
Observation System,http://example.org/digitalhaushalt/keyword/observation-system,Q122444166,http://www.wikidata.org/entity/Q122444166,Observation system and information management method,US patent 11348350,fuzzy,de
Datenankauf,http://example.org/digitalhaushalt/keyword/datenankauf,,,,,none,
Satellitenprojekt,http://example.org/digitalhaushalt/keyword/satellitenprojekt,,,,,none,
ERTMS,http://example.org/digitalhaushalt/keyword/ertms,Q687308,http://www.wikidata.org/entity/Q687308,European Rail Traffic Management System,Definitionsraum der Kommunikationstechnik für Eisenbahnen in Europa,exact,de
European Rail Traffic Management System,http://example.org/digitalhaushalt/keyword/european-rail-traffic-management-system,Q687308,http://www.wikidata.org/entity/Q687308,European Rail Traffic Management System,Definitionsraum der Kommunikationstechnik für Eisenbahnen in Europa,exact,de
Digitale Schiene,http://example.org/digitalhaushalt/keyword/digitale-schiene,,,,,none,
ETCS,http://example.org/digitalhaushalt/keyword/etcs,Q604804,http://www.wikidata.org/entity/Q604804,European Train Control System,europäisches Zugbeeinflussungssystem,exact,de
ERP,http://example.org/digitalhaushalt/keyword/erp,Q1340766,http://www.wikidata.org/entity/Q1340766,Erp,französische Gemeinde im Département Ariège,exact,de
Wagniskapitalfinanzierung,http://example.org/digitalhaushalt/keyword/wagniskapitalfinanzierung,,,,,none,
EPA,http://example.org/digitalhaushalt/keyword/epa,Q3244038,http://www.wikidata.org/entity/Q3244038,Établissement public à caractère administratif,Rechtsform in Frankreich,exact,de
Endgeräte,http://example.org/digitalhaushalt/keyword/endgeraete,Q56604316,http://www.wikidata.org/entity/Q56604316,Telekommunikationsausrüster,,fuzzy,de
Soziale Medien,http://example.org/digitalhaushalt/keyword/soziale-medien,Q202833,http://www.wikidata.org/entity/Q202833,Soziale Medien,"Gesamtheit der Medien und Technologien, die die Funktion bieten, sich auszutauschen und mediale Inhalte zu erstellen",exact,de
EMSWe,http://example.org/digitalhaushalt/keyword/emswe,Q37544508,http://www.wikidata.org/entity/Q37544508,Emsweller,Familienname,fuzzy,de
Meldeportals,http://example.org/digitalhaushalt/keyword/meldeportals,,,,,none,
medientechnische Anlagen,http://example.org/digitalhaushalt/keyword/medientechnische-anlagen,,,,,none,
DEMIS,http://example.org/digitalhaushalt/keyword/demis,Q104860899,http://www.wikidata.org/entity/Q104860899,Demis,männlicher Vorname,exact,de
Melde- und Informationssystem,http://example.org/digitalhaushalt/keyword/melde-und-informationssystem,Q1524062,http://www.wikidata.org/entity/Q1524062,Melde- und Informationssystem Binnenschifffahrt,,fuzzy,de
Datengesetz,http://example.org/digitalhaushalt/keyword/datengesetz,,,,,none,
EGA,http://example.org/digitalhaushalt/keyword/ega,Q14941772,http://www.wikidata.org/entity/Q14941772,Ega,Gattung der Familie Laufkäfer (Carabidae),exact,de
Center for Intelligence and Security Studies,http://example.org/digitalhaushalt/keyword/center-for-intelligence-and-security-studies,Q5059695,http://www.wikidata.org/entity/Q5059695,Center for Intelligence and Security Studies,center at the University of Mississippi,exact,de
EAkte,http://example.org/digitalhaushalt/keyword/eakte,,,,,none,
E-Commerce,http://example.org/digitalhaushalt/keyword/e-commerce,Q484847,http://www.wikidata.org/entity/Q484847,elektronischer Handel,Sammelbegriff für alle Aktivitäten um das Handeln von Waren und Dienstleistungen im Internet,exact,de
dtec.bw,http://example.org/digitalhaushalt/keyword/dtec-bw,,,,,none,
Digitalisierungs-,http://example.org/digitalhaushalt/keyword/digitalisierungs,,,,,none,
Drohnenfähig,http://example.org/digitalhaushalt/keyword/drohnenfaehig,,,,,none,
EUCARIS,http://example.org/digitalhaushalt/keyword/eucaris,Q5324529,http://www.wikidata.org/entity/Q5324529,Eucaris,European vehicle information exchange,exact,de
DNS,http://example.org/digitalhaushalt/keyword/dns,Q8767,http://www.wikidata.org/entity/Q8767,Domain Name Server,hierarchisch unterteiltes Bezeichnungssystem zur Beantwortung von Anfragen zu Domain-Namen,exact,de
DMRZ,http://example.org/digitalhaushalt/keyword/dmrz,,,,,none,
Deutsches Meteorologisches Rechenzentrum,http://example.org/digitalhaushalt/keyword/deutsches-meteorologisches-rechenzentrum,,,,,none,
DigitalService4Germany,http://example.org/digitalhaushalt/keyword/digitalservice4germany,Q116897462,http://www.wikidata.org/entity/Q116897462,DigitalService des Bundes,"deutsche GmbH in Bundesbesitz, die mit und für die Bundesministerien sowie nachgeordneten Behörden digitale Lösungen entwickelt",exact,de
Digitalrat,http://example.org/digitalhaushalt/keyword/digitalrat,Q56247801,http://www.wikidata.org/entity/Q56247801,Digitalrat,Beratungsgremium der deutschen Bundesregierung,exact,de
Digitalpolitik,http://example.org/digitalhaushalt/keyword/digitalpolitik,Q1978927,http://www.wikidata.org/entity/Q1978927,Netzpolitik,"Politikfeld um netzkulturelle, medienpolitische und medienrechtliche Fragen",exact,de
Strategische IT-Steuerung,http://example.org/digitalhaushalt/keyword/strategische-it-steuerung,,,,,none,
DigitalPakt,http://example.org/digitalhaushalt/keyword/digitalpakt,Q59504247,http://www.wikidata.org/entity/Q59504247,Digitalpakt,Förderprogramm für allgemeinbildende Schulen in Deutschland,exact,de
Gematik,http://example.org/digitalhaushalt/keyword/gematik,Q1499925,http://www.wikidata.org/entity/Q1499925,gematik,deutsche Non-Profit-Organisation für die Digitalisierung des Gesundheitswesens,exact,de
KI-Mittel,http://example.org/digitalhaushalt/keyword/ki-mittel,,,,,none,
Digitalen Hochschulbildung,http://example.org/digitalhaushalt/keyword/digitalen-hochschulbildung,,,,,none,
FAIR-Data,http://example.org/digitalhaushalt/keyword/fair-data,Q29032648,http://www.wikidata.org/entity/Q29032648,FAIRe Daten,"nach den FAIR-Prinzipien aufbereitete Daten (den Kriterien der Auffindbarkeit, Zugänglichkeit, Interoperabilität und Wiederverwendbarkeit entsprechend)",fuzzy,de
Datensoveränität,http://example.org/digitalhaushalt/keyword/datensoveraenitaet,,,,,none,
Datenwissenschaftlicher,http://example.org/digitalhaushalt/keyword/datenwissenschaftlicher,,,,,none,
Datensouveränität,http://example.org/digitalhaushalt/keyword/datensouveraenitaet,Q48780629,http://www.wikidata.org/entity/Q48780629,Datenhoheit,"virtuelle bzw. physische Verfügungsgewalt, die Kontrolle und das Eigentum von Daten",exact,de
Softwareentwicklungsprojekt,http://example.org/digitalhaushalt/keyword/softwareentwicklungsprojekt,,,,,none,
Digitalisierungsprozesse,http://example.org/digitalhaushalt/keyword/digitalisierungsprozesse,,,,,none,
Datentransparenz,http://example.org/digitalhaushalt/keyword/datentransparenz,Q78670249,http://www.wikidata.org/entity/Q78670249,Verordnung zur Umsetzung der Vorschriften über die Datentransparenz,Rechtsvorschrift (Deutschland),fuzzy,de
Digitalisierungsinitiative,http://example.org/digitalhaushalt/keyword/digitalisierungsinitiative,Q131379551,http://www.wikidata.org/entity/Q131379551,Digitalisierungsinitiative der Zürcher Hochschulen,,fuzzy,de
Xunternehmen,http://example.org/digitalhaushalt/keyword/xunternehmen,,,,,none,
XGewerbeordnung,http://example.org/digitalhaushalt/keyword/xgewerbeordnung,,,,,none,
XGewerbeanzeige,http://example.org/digitalhaushalt/keyword/xgewerbeanzeige,,,,,none,
Professur für Künstliche Intelligenz,http://example.org/digitalhaushalt/keyword/professur-fuer-kuenstliche-intelligenz,,,,,none,
Datenakzelerator,http://example.org/digitalhaushalt/keyword/datenakzelerator,,,,,none,
IT-Standard-xGewerbeanzeige,http://example.org/digitalhaushalt/keyword/it-standard-xgewerbeanzeige,,,,,none,
Onlineantrag,http://example.org/digitalhaushalt/keyword/onlineantrag,,,,,none,
Digital Twin,http://example.org/digitalhaushalt/keyword/digital-twin,Q25099680,http://www.wikidata.org/entity/Q25099680,Digitaler Zwilling,digitale Repräsentanz eines Objekts aus der realen Welt,exact,de
3D-Druck,http://example.org/digitalhaushalt/keyword/3d-druck,Q229367,http://www.wikidata.org/entity/Q229367,3D-Druck,Herstellung von dreidimensionalen Werkstücken durch kontinuierliches Hinzufügen von Material,exact,de
Dateninfrastruktur,http://example.org/digitalhaushalt/keyword/dateninfrastruktur,Q5227304,http://www.wikidata.org/entity/Q5227304,Dateninfrastruktur,infrastructure for specific data,exact,de
Manufacturing-X,http://example.org/digitalhaushalt/keyword/manufacturing-x,,,,,none,
