keyword,keyword_uri,wikidata_qid,wikidata_uri,wikidata_label,wikidata_description,match_type,search_lang
Investitionszuschussprogramm Digitaler,http://example.org/digitalhaushalt/keyword/investitionszuschussprogramm-digitaler,,,,,none,
Digitalthemen,http://example.org/digitalhaushalt/keyword/digitalthemen,,,,,none,
Intelligente Dienste und Daten,http://example.org/digitalhaushalt/keyword/intelligente-dienste-und-daten,,,,,none,
Gründerwettbewerb,http://example.org/digitalhaushalt/keyword/gruenderwettbewerb,Q25386214,http://www.wikidata.org/entity/Q25386214,Gründerwettbewerb,Wettbewerb in Deutschland,exact,de
PAiCE,http://example.org/digitalhaushalt/keyword/paice,Q31039797,http://www.wikidata.org/entity/Q31039797,Paice,Familienname,exact,de
Machine-to-machine,http://example.org/digitalhaushalt/keyword/machine-to-machine,Q251072,http://www.wikidata.org/entity/Q251072,Machine to Machine,automatisierter Informationsaustausch zwischen Maschinen,fuzzy,de
Smart Service,http://example.org/digitalhaushalt/keyword/smart-service,Q24843185,http://www.wikidata.org/entity/Q24843185,Smart Service,Marketing-Buzzword,exact,de
Smart Data,http://example.org/digitalhaushalt/keyword/smart-data,Q56297418,http://www.wikidata.org/entity/Q56297418,Smart Data,,exact,de
Massendaten,http://example.org/digitalhaushalt/keyword/massendaten,,,,,none,
Prototypisch,http://example.org/digitalhaushalt/keyword/prototypisch,Q228641,http://www.wikidata.org/entity/Q228641,Prototype,Wikimedia-Begriffsklärungsseite,exact,de
Forum Digitale Strategie,http://example.org/digitalhaushalt/keyword/forum-digitale-strategie,,,,,none,
Smart Living,http://example.org/digitalhaushalt/keyword/smart-living,Q1421636,http://www.wikidata.org/entity/Q1421636,Intelligentes Wohnen,,exact,de
Smart Home,http://example.org/digitalhaushalt/keyword/smart-home,Q64865818,http://www.wikidata.org/entity/Q64865818,intelligentes Heim,Oberbegriff für technische Verfahren und Systeme zur Gebäudeautomation,exact,de
Interoperabel,http://example.org/digitalhaushalt/keyword/interoperabel,Q99354765,http://www.wikidata.org/entity/Q99354765,Interoperabel markbaserad infrastruktur för ledning av JAS Gripen,written question from Allan Widman to Sten Tolgfors,fuzzy,de
Offene Standard,http://example.org/digitalhaushalt/keyword/offene-standard,,,,,none,
Federated Service,http://example.org/digitalhaushalt/keyword/federated-service,Q57711346,http://www.wikidata.org/entity/Q57711346,Federated Service-Based Authentication Provisioning for Distributed Diagnostic Imaging Systems,,fuzzy,de
Open Source Lösungen,http://example.org/digitalhaushalt/keyword/open-source-loesungen,Q115144988,http://www.wikidata.org/entity/Q115144988,Open-Source-Lösungen zur Automatisierung des Deployments und Betriebs von Clouds,wissenschaftlicher Artikel,fuzzy,de
Kollaboration,http://example.org/digitalhaushalt/keyword/kollaboration,Q1145523,http://www.wikidata.org/entity/Q1145523,Zusammenarbeit,Akt der Kollaboration,exact,de
Catena-X,http://example.org/digitalhaushalt/keyword/catena-x,,,,,none,
Junge digitale Wirtschaft,http://example.org/digitalhaushalt/keyword/junge-digitale-wirtschaft,,,,,none,
Digital Hub,http://example.org/digitalhaushalt/keyword/digital-hub,Q100399698,http://www.wikidata.org/entity/Q100399698,"Digital Hub Development Agency Act, 2003",Act of the Oireachtas No. 23 of 2003,fuzzy,de
Digitalpolitische,http://example.org/digitalhaushalt/keyword/digitalpolitische,,,,,none,
IT-Geschäftskonzept,http://example.org/digitalhaushalt/keyword/it-geschaeftskonzept,,,,,none,
go-data,http://example.org/digitalhaushalt/keyword/go-data,,,,,none,
IT-Schutzniveaus,http://example.org/digitalhaushalt/keyword/it-schutzniveaus,,,,,none,
Hub-Agency,http://example.org/digitalhaushalt/keyword/hub-agency,,,,,none,
de:Hub,http://example.org/digitalhaushalt/keyword/de-hub,,,,,none,
Initiative Stadt.Land.Digital,http://example.org/digitalhaushalt/keyword/initiative-stadt-land-digital,,,,,none,
GINSUM,http://example.org/digitalhaushalt/keyword/ginsum,,,,,none,
Stadt.Land.Digitalu,http://example.org/digitalhaushalt/keyword/stadt-land-digitalu,,,,,none,
Digitalstandort,http://example.org/digitalhaushalt/keyword/digitalstandort,,,,,none,
Wagniskapitalgeber,http://example.org/digitalhaushalt/keyword/wagniskapitalgeber,,,,,none,
Intelligente Vernetzung,http://example.org/digitalhaushalt/keyword/intelligente-vernetzung,Q116102470,http://www.wikidata.org/entity/Q116102470,Intelligente Vernetzung und Adaption von IT-Systemen zur Qualitätssteigerung der Behandlung von Glaukompatienten (C05),GEPRIS Projekt,fuzzy,de
IKT-Anbieter,http://example.org/digitalhaushalt/keyword/ikt-anbieter,,,,,none,
IKT-Nachfrager,http://example.org/digitalhaushalt/keyword/ikt-nachfrager,,,,,none,
Digitale Wirtschaft,http://example.org/digitalhaushalt/keyword/digitale-wirtschaft,Q138461,http://www.wikidata.org/entity/Q138461,Digitalwirtschaft,economy that is based on digital computing technologies,exact,de
GINSEP,http://example.org/digitalhaushalt/keyword/ginsep,,,,,none,
Algorithmen,http://example.org/digitalhaushalt/keyword/algorithmen,Q4724352,http://www.wikidata.org/entity/Q4724352,Algorithmen,Funktionen mit bestimmten Manipulationsvorschriften in der C++-Standardbibliothek,exact,de
Sichere Identität,http://example.org/digitalhaushalt/keyword/sichere-identitaet,Q136522995,http://www.wikidata.org/entity/Q136522995,Verband Sichere Digitale Identität,deutscher Interessenverband mit Sitz in Berlin,fuzzy,de
Digitales Ökosystem,http://example.org/digitalhaushalt/keyword/digitales-oekosystem,Q3557311,http://www.wikidata.org/entity/Q3557311,digitales Ökosystem,soziotechnisches System,exact,de
Dateninstitut,http://example.org/digitalhaushalt/keyword/dateninstitut,Q125499331,http://www.wikidata.org/entity/Q125499331,Dateninstitut,im Aufbau befindliche Behörde des Bundes (Deutschland),exact,de
Datenverfügbarkeit,http://example.org/digitalhaushalt/keyword/datenverfuegbarkeit,,,,,none,
Datenräume,http://example.org/digitalhaushalt/keyword/datenraeume,Q117819836,http://www.wikidata.org/entity/Q117819836,Datenräume in Deutschland und Europa gestalten - Impulse der Wissenschaft,Konferenz in Hannover vom 24.-25.04.2023,fuzzy,de
Datenmigration,http://example.org/digitalhaushalt/keyword/datenmigration,Q1932543,http://www.wikidata.org/entity/Q1932543,Datenmigration,Umstellungsprozess in Datenverarbeitungssystemen,exact,de
Daten intelligent geteilt,http://example.org/digitalhaushalt/keyword/daten-intelligent-geteilt,,,,,none,
KI-Technologie,http://example.org/digitalhaushalt/keyword/ki-technologie,,,,,none,
Datenschutzbehörden,http://example.org/digitalhaushalt/keyword/datenschutzbehoerden,,,,,none,
Datenzugang,http://example.org/digitalhaushalt/keyword/datenzugang,,,,,none,
Computerspieleförderung,http://example.org/digitalhaushalt/keyword/computerspielefoerderung,,,,,none,
Digital Responsibility,http://example.org/digitalhaushalt/keyword/digital-responsibility,,,,,none,
Digital Health Platform,http://example.org/digitalhaushalt/keyword/digital-health-platform,Q113920105,http://www.wikidata.org/entity/Q113920105,Digital Health Platform Customized for Patients With Gaucher Disease,clinical trial,fuzzy,de
Deutschlandfonds,http://example.org/digitalhaushalt/keyword/deutschlandfonds,Q137462100,http://www.wikidata.org/entity/Q137462100,Deutschlandfonds,Initiative der deutschen Bundesregierung (Kabinett Merz) zur Mobilisierung privaten Kapitals für strategische Investitionen,exact,de
DZSF,http://example.org/digitalhaushalt/keyword/dzsf,Q64485073,http://www.wikidata.org/entity/Q64485073,Deutsches Zentrum für Schienenverkehrsforschung,"unabhängige, technisch-wissenschaftliche Ressortforschungseinrichtung des Bundes",exact,de
Fahrplandaten,http://example.org/digitalhaushalt/keyword/fahrplandaten,,,,,none,
Elektronische Buchung,http://example.org/digitalhaushalt/keyword/elektronische-buchung,,,,,none,
DAC4EU,http://example.org/digitalhaushalt/keyword/dac4eu,,,,,none,
Deutsche Zentrum Mobilität der Zukunft,http://example.org/digitalhaushalt/keyword/deutsche-zentrum-mobilitaet-der-zukunft,,,,,none,
Wireless Competence,http://example.org/digitalhaushalt/keyword/wireless-competence,,,,,none,
Hamburg Wireless Competence,http://example.org/digitalhaushalt/keyword/hamburg-wireless-competence,,,,,none,
KI-Systeme,http://example.org/digitalhaushalt/keyword/ki-systeme,,,,,none,
Quantencomputers,http://example.org/digitalhaushalt/keyword/quantencomputers,,,,,none,
Desktop,http://example.org/digitalhaushalt/keyword/desktop,Q1048818,http://www.wikidata.org/entity/Q1048818,Desktop,feature,exact,de
Denkfabrik Digitale Arbeitsgesellschaft,http://example.org/digitalhaushalt/keyword/denkfabrik-digitale-arbeitsgesellschaft,Q118201763,http://www.wikidata.org/entity/Q118201763,Denkfabrik Digitale Arbeitsgesellschaft,,exact,de
Datenweiterleitungsverordnung,http://example.org/digitalhaushalt/keyword/datenweiterleitungsverordnung,,,,,none,
Datenaustauschsystems,http://example.org/digitalhaushalt/keyword/datenaustauschsystems,,,,,none,
Datenträgervernichtung,http://example.org/digitalhaushalt/keyword/datentraegervernichtung,,,,,none,
Stiftung Datenschutz,http://example.org/digitalhaushalt/keyword/stiftung-datenschutz,Q15849271,http://www.wikidata.org/entity/Q15849271,Stiftung Datenschutz,gemeinnützige Stiftung,exact,de
Datenmenge,http://example.org/digitalhaushalt/keyword/datenmenge,Q1172472,http://www.wikidata.org/entity/Q1172472,Datenmenge,Maß für die Menge von Daten,exact,de
Datenleitung,http://example.org/digitalhaushalt/keyword/datenleitung,Q917186,http://www.wikidata.org/entity/Q917186,Datenleitung,electrical cable used for the transmission of data,exact,de
Datenkompetenzzentrum,http://example.org/digitalhaushalt/keyword/datenkompetenzzentrum,Q131470986,http://www.wikidata.org/entity/Q131470986,Datenkompetenzzentrum,"Ein Zentrum, das sich mit dem Thema ""Datenkompetenz"", Data Literacy und Forschungsdatenmanagement beschäftigt",exact,de
Datenkompetenzzentren,http://example.org/digitalhaushalt/keyword/datenkompetenzzentren,,,,,none,
Digitale Geisteswissenschaften,http://example.org/digitalhaushalt/keyword/digitale-geisteswissenschaften,Q1026962,http://www.wikidata.org/entity/Q1026962,Digital Humanities,Schnittstellendisziplin zwischen Informatik und Geisteswissenschaften,exact,de
Datenerhebungsprogramm,http://example.org/digitalhaushalt/keyword/datenerhebungsprogramm,,,,,none,
Datenbereitstellung,http://example.org/digitalhaushalt/keyword/datenbereitstellung,,,,,none,
D-LBO,http://example.org/digitalhaushalt/keyword/d-lbo,Q136083669,http://www.wikidata.org/entity/Q136083669,Wolf 2,militärisches Mehrzweckfahrzeug der Bundeswehr und das Nachfolgemodell des seit den 1980er-Jahren genutzten Wolf (Mercedes-Benz G-Klasse 25 0 GD),exact,de
Digitalisierung landbasierter Operationen,http://example.org/digitalhaushalt/keyword/digitalisierung-landbasierter-operationen,,,,,none,
Cyberrecht,http://example.org/digitalhaushalt/keyword/cyberrecht,,,,,none,
COSPAS/SARSAT,http://example.org/digitalhaushalt/keyword/cospas-sarsat,,,,,none,
Internationale Fernmeldeunion,http://example.org/digitalhaushalt/keyword/internationale-fernmeldeunion,Q376150,http://www.wikidata.org/entity/Q376150,Internationale Fernmeldeunion,Sonderorganisation der Vereinten Nationen,exact,de
Telekommunikationsverkehrs,http://example.org/digitalhaushalt/keyword/telekommunikationsverkehrs,,,,,none,
Connected,http://example.org/digitalhaushalt/keyword/connected,Q654940,http://www.wikidata.org/entity/Q654940,Connected,Single von Ayumi Hamasaki,exact,de
Computerspiele,http://example.org/digitalhaushalt/keyword/computerspiele,Q2405480,http://www.wikidata.org/entity/Q2405480,Sprecher,"Sprecher im künstlerischen Bereich, wie Hörspiel-, Computerspiel- oder Synchronsprecher",fuzzy,de
ICT Pact,http://example.org/digitalhaushalt/keyword/ict-pact,,,,,none,
CESOC,http://example.org/digitalhaushalt/keyword/cesoc,,,,,none,
CERT,http://example.org/digitalhaushalt/keyword/cert,Q1122253,http://www.wikidata.org/entity/Q1122253,Computer Emergency Response Team,Art von Organisation,exact,de
Cybersicherheitsvorfällen,http://example.org/digitalhaushalt/keyword/cybersicherheitsvorfaellen,,,,,none,
BWI,http://example.org/digitalhaushalt/keyword/bwi,Q94895,http://www.wikidata.org/entity/Q94895,Baltimore-Washington International Airport,Flughafen in den Vereinigten Staaten,exact,de
BWI Informationstechnik,http://example.org/digitalhaushalt/keyword/bwi-informationstechnik,Q797193,http://www.wikidata.org/entity/Q797193,BWI Informationstechnik,Identität der heutigen BWI GmbH zwischen 2006 und 2017,exact,de
Druckereigerät,http://example.org/digitalhaushalt/keyword/druckereigeraet,,,,,none,
Digitale-Dienste-Gesetz,http://example.org/digitalhaushalt/keyword/digitale-dienste-gesetz,Q125923611,http://www.wikidata.org/entity/Q125923611,Digitale-Dienste-Gesetz,deutsches Bundesgesetz zur Regulierung digitaler Dienste,exact,de
Funkspektrum,http://example.org/digitalhaushalt/keyword/funkspektrum,Q902174,http://www.wikidata.org/entity/Q902174,Funkspektrum,Frequenzbereich der zur technischen Kommunikation verwendeten elektromagnetischen Wellen,exact,de
Datentransfer,http://example.org/digitalhaushalt/keyword/datentransfer,Q495092,http://www.wikidata.org/entity/Q495092,Datenübertragungsrate,Maß für die pro Zeit übertragene Datenmenge,fuzzy,de
New Radio,http://example.org/digitalhaushalt/keyword/new-radio,Q89586589,http://www.wikidata.org/entity/Q89586589,New radiocarbon dates for iron-working sites on Exmoor,newsletter article published in 2000,fuzzy,de
IT-Komponenten,http://example.org/digitalhaushalt/keyword/it-komponenten,,,,,none,
Breitbandiger,http://example.org/digitalhaushalt/keyword/breitbandiger,Q116114235,http://www.wikidata.org/entity/Q116114235,"Breitbandiger, hocheffizienter Photodetektor basierend auf dem SiGe-Materialsystem",GEPRIS Projekt,fuzzy,de
FuMOS,http://example.org/digitalhaushalt/keyword/fumos,Q137431613,http://www.wikidata.org/entity/Q137431613,Fumosa,"Siedlung in Granada Department, Nicaragua",fuzzy,de
Funkmessstelle,http://example.org/digitalhaushalt/keyword/funkmessstelle,Q19280069,http://www.wikidata.org/entity/Q19280069,Funkmessstelle für Weltraumfunk,Messstelle für Weltraumfunkdienste in Deutschland,fuzzy,de
Funkmess- und Ortungssystems,http://example.org/digitalhaushalt/keyword/funkmess-und-ortungssystems,,,,,none,
BNetzA,http://example.org/digitalhaushalt/keyword/bnetza,Q269138,http://www.wikidata.org/entity/Q269138,Bundesnetzagentur,"oberste deutsche Regulierungsbehörde für Elektrizität, Gas, Telekommunikation, Post und Eisenbahnen",exact,de
BIM,http://example.org/digitalhaushalt/keyword/bim,Q842017,http://www.wikidata.org/entity/Q842017,Building Information Modeling,informationstechnische Methodik der Bauwirtschaft,exact,de
Fachinformationssysteme,http://example.org/digitalhaushalt/keyword/fachinformationssysteme,,,,,none,
Information Modeling,http://example.org/digitalhaushalt/keyword/information-modeling,Q56741169,http://www.wikidata.org/entity/Q56741169,Information Modeling and Relational Databases,book by Tony Morgan,fuzzy,de
Daten-Marktplatz,http://example.org/digitalhaushalt/keyword/daten-marktplatz,,,,,none,
Baustelleninformationssystem,http://example.org/digitalhaushalt/keyword/baustelleninformationssystem,,,,,none,
Viewer,http://example.org/digitalhaushalt/keyword/viewer,Q7924308,http://www.wikidata.org/entity/Q7924308,ViEWER,Software,exact,de
Interoperabilitätsziele,http://example.org/digitalhaushalt/keyword/interoperabilitaetsziele,,,,,none,
Digitalisierungsthemen,http://example.org/digitalhaushalt/keyword/digitalisierungsthemen,,,,,none,
Building Information Modeling,http://example.org/digitalhaushalt/keyword/building-information-modeling,Q842017,http://www.wikidata.org/entity/Q842017,Building Information Modeling,informationstechnische Methodik der Bauwirtschaft,exact,de
Berufsbildung 4.0,http://example.org/digitalhaushalt/keyword/berufsbildung-4-0,Q126346776,http://www.wikidata.org/entity/Q126346776,Berufsbildung 4.0 als didaktische Herausforderung,wissenschaftlicher Artikel,fuzzy,de
Nationale Weiterbildungsstrategie,http://example.org/digitalhaushalt/keyword/nationale-weiterbildungsstrategie,,,,,none,
ASCOT+,http://example.org/digitalhaushalt/keyword/ascot,,,,,none,
DatenerfassungsAnlage,http://example.org/digitalhaushalt/keyword/datenerfassungsanlage,,,,,none,
ARGO-Messnetz,http://example.org/digitalhaushalt/keyword/argo-messnetz,,,,,none,
Arbeitsgemeinschaft für wirtschaftliche Verwaltung,http://example.org/digitalhaushalt/keyword/arbeitsgemeinschaft-fuer-wirtschaftliche-verwaltung,Q627685,http://www.wikidata.org/entity/Q627685,Arbeitsgemeinschaft für wirtschaftliche Verwaltung,gemeinnütziger Verein bürgerlichen Rechts,exact,de
AWV,http://example.org/digitalhaushalt/keyword/awv,Q627685,http://www.wikidata.org/entity/Q627685,Arbeitsgemeinschaft für wirtschaftliche Verwaltung,gemeinnütziger Verein bürgerlichen Rechts,exact,de
Halbleiter,http://example.org/digitalhaushalt/keyword/halbleiter,Q11456,http://www.wikidata.org/entity/Q11456,Halbleiter,"Festkörper, die sowohl als Leiter als auch als Nichtleiter betrachtet werden können",exact,de
AIS-Dienst,http://example.org/digitalhaushalt/keyword/ais-dienst,,,,,none,
Abbiegeassistenzsystemen,http://example.org/digitalhaushalt/keyword/abbiegeassistenzsystemen,,,,,none,
